Stream,Year,Month,Counter,Symmetry,#Solutions,Minutes,Difficulty
1,2014,3,82,diagonal,1,16.874280,1
1,2014,3,83,diagonal-broken,1,4.908274,0
1,2014,3,84,mirror-broken,1,5.406662,0
1,2014,3,85,mirror-broken,1,8.805668,1
1,2014,3,86,classic-broken,1,12.370128,1
1,2014,3,87,diagonal-broken,1,11.072034,1
1,2014,3,88,diagonal-broken,1,10.601579,1
1,2014,3,89,classic-broken,1,5.579861,0
1,2014,3,90,classic-broken,1,2.800506,0
1,2014,3,91,classic-broken,1,3.320207,0
1,2014,3,92,blockwise-broken,1,13.615483,1
1,2014,3,93,mirror-broken,2,16.053002,1
1,2014,3,94,diagonal-broken,1,16.515304,1
1,2014,3,95,diagonal-broken,1,4.180185,0
1,2014,3,96,mirror-broken,1,8.301295,1
1,2014,3,97,none,1,11.005856,1
1,2014,3,98,blockwise,1,3.578834,0
1,2014,3,99,none,1,6.423180,0
1,2014,3,100,rotational-broken,2,10.798766,0
1,2014,4,1,mirror-broken,1,3.699918,0
1,2014,4,2,classic-broken,1,10.604967,1
1,2014,4,3,blockwise-broken,1,4.346418,0
1,2014,4,4,diagonal-broken,2,10.625942,0
1,2014,4,5,none,1,4.075132,0
1,2014,4,6,blockwise-broken,1,5.242781,0
1,2014,4,7,diagonal-broken,1,5.411496,0
1,2014,4,8,diagonal-broken,1,16.318011,1
1,2014,4,9,rotational-broken,1,3.746378,0
1,2014,4,10,none,1,12.084600,1
1,2014,4,11,classic-broken,1,3.984452,0
1,2014,4,12,blockwise-broken,1,4.378421,0
1,2014,4,13,diagonal-broken,2,19.202361,1
1,2014,4,14,blockwise-broken,1,8.927402,1
1,2014,4,15,none,1,6.584640,0
1,2014,4,16,classic-broken,1,5.922131,0
1,2014,4,17,double mirror-broken,1,4.723934,0
1,2014,4,18,diagonal-broken,1,25.238882,1
1,2014,4,19,none,1,9.931006,1
1,2014,4,20,classic-broken,1,9.243675,0
1,2014,4,21,mirror-broken,2,8.941397,0
1,2014,4,22,classic-broken,1,10.813789,1
1,2014,4,23,blockwise-broken,1,13.857361,1
1,2014,4,24,classic-broken,1,4.528973,0
1,2014,4,25,diagonal-broken,2,9.260683,0
