Puzzle,#Runs,Fraction
1:1:2014-1:7,7,1.01845
1:1:2014-1:7,8,1.01630
1:1:2014-1:7,9,0.993811
1:1:2014-1:7,10,1.01595
1:1:2014-1:7,11,1.05691
1:1:2014-1:7,12,1.06677
1:1:2014-1:7,13,1.08867
1:1:2014-1:7,14,1.07288
1:1:2014-1:7,15,1.08754
1:1:2014-1:7,16,1.08772
1:1:2014-1:7,17,1.09059
1:1:2014-1:7,18,1.06576
1:1:2014-1:7,19,1.09648
1:1:2014-1:7,20,1.09432
1:1:2014-1:7,21,1.09235
1:1:2014-1:7,22,1.09251
1:1:2014-1:7,23,1.07758
1:1:2014-1:7,24,1.06718
1:1:2014-1:7,25,1.05061
1:1:2014-1:7,26,1.03578
1:1:2014-1:7,27,1.02432
1:1:2014-1:7,28,1.00948
1:1:2014-1:7,29,1.00147
1:1:2014-1:7,30,1.00606
1:1:2014-1:7,31,1.00742
1:1:2014-1:7,32,1.00113
1:1:2014-1:7,33,1.01719
1:1:2014-1:7,34,1.01721
1:1:2014-1:7,35,1.01815
1:1:2014-1:7,36,1.01662
1:1:2014-1:7,37,1.01390
1:1:2014-1:7,38,1.00789
1:1:2014-1:7,39,0.998795
1:1:2014-1:7,40,1.01178
1:1:2014-1:7,41,1.00964
1:1:2014-1:7,42,1.01200
1:1:2014-1:7,43,1.00834
1:1:2014-1:7,44,1.01386
1:1:2014-1:7,45,1.01281
1:1:2014-1:7,46,1.00961
1:1:2014-1:7,47,1.02257
1:1:2014-1:7,48,1.01956
1:1:2014-1:7,49,1.01582
1:1:2014-1:7,50,1.01638
1:1:2014-1:7,51,1.00906
1:1:2014-1:7,52,1.00806
1:1:2014-1:7,53,1.01053
1:1:2014-1:7,54,1.01289
1:1:2014-1:7,55,1.01551
1:1:2014-1:7,56,1.01517
1:1:2014-1:7,57,1.01122
1:1:2014-1:7,58,1.00710
1:1:2014-1:7,59,1.00564
1:1:2014-1:7,60,1.00320
1:1:2014-1:7,61,1.00088
1:1:2014-1:7,62,1.00383
1:1:2014-1:7,63,1.00192
1:1:2014-1:7,64,0.998495
1:1:2014-1:7,65,0.997592
1:1:2014-1:7,66,0.991953
1:1:2014-1:7,67,0.992564
1:1:2014-1:7,68,0.988965
1:1:2014-1:7,69,0.988440
